path,file_type,elf_class,endianness,machine,machine_value,elf_type,linkage,interpreter,dt_needed,rpath,runpath,symbol_versions,build_id,stripped,sha256
/bin/arping,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libsysfs.so.2;libc.so.6,,,GLIBC_2.14,,yes,40ef2b6dc228c41ab2257456439f2d2af1fd01cf37002e2b41db17c87ecc5211
/bin/bash,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libtinfo.so.5;libdl.so.2;libc.so.6,,,GLIBC_2.14,,yes,eaac10bd1be5d153725c2f6defd8ede8a497c41b34f88b472ac4626979a10d8c
/bin/busybox,"setuid ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libc.so.6,,,GLIBC_2.14,,yes,f0b6f13ed6e439ef6d22fe41d8c4c85f3c8e2dd5fc1b46b2ebfc530f1fbe1dcd
/bin/cpio.cpio,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librt.so.1;libc.so.6,,,GLIBC_2.14,,yes,c4659f2f2ab8ec22ccf0778c3f12ebdff64ea41bae578d5b4cd4020d119e7c68
/bin/gzip.gzip,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librt.so.1;libc.so.6,,,GLIBC_2.14,,yes,1b1804b92788fd4d2908ae7ebbe3615738464d459c9d2f6ba8c38de01bbc536b
/bin/kill.procps,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libproc-3.2.8.so;libc.so.6,,,GLIBC_2.14,,yes,ec3878c783a047a162aeca02abe2b039c2238e13ab27232db20b26d28bc3eb73
/bin/login.shadow,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libpam_misc.so.0;libpam.so.0;libc.so.6,,,GLIBC_2.14;LIBPAM_1.0;LIBPAM_MISC_1.0,,yes,a1fcd55af7166d1a36d2f3adbc4e658f4f12c7b2611d814c48ed90744dea975f
/bin/lsmod.26,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libc.so.6,,,GLIBC_2.14,,yes,452a1c83b501110223af9c066bdedfb847a48f7d720cdf17dd335b9b40bb50d9
/bin/mountpoint.sysvinit,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libc.so.6,,,GLIBC_2.14,,yes,46d90b92fefebe40fb1fa12855650fdc11b4e43b3d370fafe25091223cadb778
/bin/ping.iputils,"setuid ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libc.so.6,,,GLIBC_2.14,,yes,694fdfaf7c4c491d57f6578a7bb003d0de1d2d9cb83069ea86540516d89cc3db
/bin/ping6.iputils,"setuid ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libresolv.so.2;libcrypto.so.1.0.0;libc.so.6,,,GLIBC_2.14;OPENSSL_1.0.2d,,yes,a31a510d751969f8b5f33ddc6201e820c06e165bdf90c41cc37df4865f3d154b
/bin/ps.procps,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libproc-3.2.8.so;libc.so.6,,,GLIBC_2.14,,yes,9de5cbed3269aef40f9b182a1809bb3e87d959fc85955cd14fc2acd24e77558d
/bin/tinylogin,"setuid ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libcrypt.so.1;libc.so.6,,,GLIBC_2.14,,yes,d4ea6fff68e0e47ad29a3f653eff18a170f1f3e5ae09a519260d842f055d48d4
/bin/tracepath,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libc.so.6,,,GLIBC_2.14,,yes,8d40a685c4853cbcdf5b4fe594c6d1b582c7c23fa7464baf9a519633e835089b
