package	version	status	notes
base-files-k1om	0.1.0	passed	Package-built base profile metadata installed into MicDir and exposed /etc/xeon-phi-revival-release
hello-knc-smoke	0.1.0	passed	Package-built K1OM hello payload ran on mic0 from /opt/xeon-phi-revival
python3.5-minimal-k1om	0.1.0	passed	Package-built CPython interpreter payload ran with PYTHONHOME=/opt/xeon-phi-revival
python3.5-stdlib-k1om	0.1.0	passed	Package-built CPython pure standard library payload installed under /opt/xeon-phi-revival/lib/python3.5
python3.5-lib-dynload-k1om	0.1.0	passed	Package-built CPython dynamic extension payload installed under /opt/xeon-phi-revival/lib/python3.5/lib-dynload
python3.5-smoke-k1om	0.1.0	passed	Package-built CPython smoke script ran on mic0 through second-stage service
xpr-shell-compat	0.1.0	passed	Package-built shell compatibility wrapper provides python3/python entrypoints and profile.d environment setup
xpr-busybox-compat	0.1.0	passed	Package-built BusyBox-backed command entrypoints provide common minimal userland commands under /opt/xeon-phi-revival/bin
xpr-pci-tools	0.1.0	passed	Package-built pcietool sysfs helper installs as /usr/bin/pcietool and ran successfully on mic0; current PCI listing output was empty
zlib-smoke-k1om	0.1.0	passed	Package-built zlib smoke payload ran on mic0 through second-stage service
libtinfo5-k1om	0.1.0	passed	Package-built reusable libtinfo runtime payload installed separately for ncurses smoke
ncurses-smoke-k1om	0.1.0	passed	Package-built ncurses smoke payload depends on libtinfo5-k1om and ran on mic0
xpr-os-smoke	0.1.0	passed	Package-built basic OS smoke verified proc/sys/dev/tmp/symlink/network/env on mic0
xeon-phi-revival-stage2	0.1.0	passed	Package-built SysV second-stage service ran hello/Python/OS smoke through stock init
xeon-phi-revival-profile	0.1.0	passed	Package-built k1om profile .deb installed into MicDir, ran hello/Python, and rolled back
zlib	1:1.3.dfsg-3.1ubuntu2	passed	K1OM libz and Python zlib extension smoke passed
ncurses	6.4+20240113-1ubuntu2.1	partial-pass	K1OM simple curses_version smoke passed; setupterm segfault needs investigation
sqlite3	3.45.1-1ubuntu2.7	blocked	Source verified and patched; build needs host tclsh
libffi	3.4.6-1build1	blocked	Source verified and patched; source requires Autoconf 2.71+
cpython	3.5.10	bootstrap-pass	K1OM interpreter runs core Python plus math and zlib in demo rootfs
